HotelRateStagingID,RateType,HotelStagingID,Price,RoomType
1,AI,1,"$2,187.56",Double Room Ocean View
2,AI,24,"$3,249.50",Family Selection Junior Suite
3,AI,24,"$3,405.02",Family Selection Loft Suite
4,AI,24,"$4,375.40",Junior Suite
5,AI,24,"$5,175.44",Family Selection Junior Suite
6,AI,24,"$5,486.54",Family Selection Loft Suite
7,AI,23,"$2,868.90",Paradisus Junior Suite Lagoon View
8,AI,23,"$3,206.67",Premium One Bedroom Suite
9,AI,23,"$3,589.50",The Reserve Luxury Junior Suite Lagoon View
10,AI,23,"$3,640.15",The Reserve Paradisus Junior Suite Ocean View
11,AI,23,"$3,782.78",The Reserve One Bedroom Suite Lagoon view
12,AI,23,"$3,808.10",The Reserve Luxury Junior Suite Ocean View
13,AI,23,"$3,011.46",Premium Paradisus Junior Suite
14,AI,23,"$3,019.36",Paradisus Junior Suite Ocean View
15,AI,23,"$3,109.23",Luxury Junior Suite Ocean View
16,AI,23,"$3,351.21",Premium One Bedroom Master Suite
17,AI,23,"$3,351.21",The Reserve Paradisus Junior Suite Lagoon View
18,AI,22,"$2,902.16",Junior Suite
19,AI,22,"$3,033.86",Junior Suite Ocean Front
20,AI,22,"$4,541.18",Junior Suite Swim Up Premium Level
21,AI,21,"$2,903.12",Deluxe Junior Suite
22,AI,21,"$3,347.54",Golden Junior Suite
23,AI,21,"$3,569.78",Golden Superior Junior Suite
24,AI,21,"$3,629.06",Privilege Deluxe Junior Suite
25,AI,21,"$3,866.06",Golden Swim-Up Junior Suite
26,AI,21,"$4,073.48",Privilege Golden Junior Suite
27,AI,21,"$4,295.72",Privilege Golden Superior Junior Suite
28,AI,21,"$4,310.54",Emerald Junior Suite
29,AI,21,"$4,592.00",Privilege Golden Swim-Up Junior Suite
30,AI,21,"$5,036.42",Privilege Emerald Junior Suite
31,AI,24,"$2,849.48",Junior Suite
32,AI,24,"$3,405.02",Family Selection Loft Suite
33,AI,24,"$3,249.50",Family Selection Junior Suite
34,AI,24,"$2,849.48",Junior Suite
35,EP,25,"$2,809.84",Partial Ocean View Queen
36,EP,25,"$2,911.51",Ocean View King
37,EP,25,"$2,911.51",Ocean View Queen
38,EP,25,"$3,013.20",Ocean Front Queen
39,EP,25,"$3,216.65",Club King Room
40,EP,25,"$3,420.01",Partial Ocean View Club Room - 1 King Bed
41,EP,25,"$3,420.01",Partial Ocean View Club Room - 2 Queen Beds
42,EP,25,"$3,555.56",Club View King
43,EP,25,"$3,555.56",Club View Queen
44,EP,25,"$3,555.56",Swim Up Queen
45,EP,25,"$3,555.56",Swim Up Room King
46,EP,25,"$4,165.69",Hyatt Suite King
47,EP,25,"$4,301.28",Plunge Pool Suite
48,EP,25,"$5,250.45",Executive Suite King
49,AI,21,"$5,051.24",Diamond Suite
50,EP,25,"$3,746.37",Hyatt Room King
51,EP,25,"$3,868.38",Partial Ocean View Queen
52,EP,25,"$3,959.91",Ocean View King
53,EP,25,"$3,959.91",Ocean View Queen
54,EP,25,"$4,051.38",Ocean Front Queen
55,EP,25,"$4,234.47",Club King Room
56,EP,25,"$4,417.51",Partial Ocean View Club Room - 1 King Bed
57,EP,25,"$4,417.51",Partial Ocean View Club Room - 2 Queen Beds
58,EP,25,"$4,539.53",Club View King
59,EP,25,"$4,539.53",Club View Queen
60,EP,25,"$4,539.53",Swim Up Queen
61,EP,25,"$4,539.53",Swim Up Room King
62,EP,25,"$5,088.67",Hyatt Suite King
63,EP,25,"$5,210.69",Plunge Pool Suite
64,EP,25,"$6,064.96",Executive Suite King
65,EP,25,"$3,868.38",Partial Ocean View King
66,AI,21,"$5,866.10",Imperial Suite
67,AI,20,"$2,912.28",Junior Suite Garden View
68,AI,20,"$3,015.96",Junior Suite Partial Ocean View
69,AI,19,"$3,337.24",Xhale Club Junior Suite Swimout Tropical View Double
70,AI,19,"$3,337.24",Xhale Club Junior Suite Swimout Tropical View King
71,AI,19,"$3,412.18",Xhale Club Junior Suite Ocean Front King
72,AI,19,"$4,063.72",Xhale Club Master Suite Ocean View King
73,AI,19,"$4,138.60",Xhale Club Master Suite Ocean Front King
74,AI,19,"$3,764.89",Xcelerate Junior Suite Ocean Front Double Beds
75,AI,19,$0.00,&nbsp;
76,AI,19,$0.00,&nbsp;
77,AI,18,"$2,964.31",Junior Suite Partial Ocean View (2 Doubles)
78,AI,18,"$3,045.56",Junior Suite Ocean View
79,AI,18,"$3,111.06",Preferred Club Junior Suite Swim Out King
80,AI,18,"$3,126.81",Junior Suite Swim Out
81,AI,18,"$3,182.56",Preferred Club Ocean Front
82,AI,18,"$3,301.81",Preferred Club Junior Suite Ocean View (1 King)
83,AI,19,"$3,254.86",Xhale Club Junior Suite Ocean View King
84,AI,18,"$3,721.56",Preferred Club Master Suite Ocean Front
85,AI,18,"$5,008.56",Preferred Club Master Suite Peony
86,AI,18,"$3,288.06",Junior Suite Partial Ocean View (2 Doubles)
87,AI,17,"$3,072.80",Luxury
88,AI,17,"$3,099.50",Luxury Royal View
89,AI,17,"$3,155.78",Luxury Relax Pool
90,AI,17,"$3,550.58",Luxury Sunrise
91,AI,17,"$3,709.88",Suite Ocean View
92,AI,30,"$3,102.36",Suite
93,AI,30,"$3,195.60",Superior Suite
94,AI,30,"$3,604.32",Ocean Front Suite
95,AI,30,"$4,106.28",Superior Ocean Front Suite
96,AI,30,"$4,328.58",Superior Ocean Front Corner Suite
97,AI,30,$0.00,&nbsp;
