HotelStagingID,Name,Location,RequestID,TourOperatorID
1,Riu Caribe,Hotel Location/Area: Cancun-Bay Beach,43,1
2,Secrets Playa Mujeres Golf &amp; Spa Resort - Adults Only,Hotel Location/Area: Cancun-Playa Mujeres,43,1
3,"Margaritaville Island Reserve By Karisma, Riviera Cancun",Hotel Location/Area: Riviera Maya - Puerto Morelos,43,1
4,Grand Fiesta Americana Coral Beach Cancún - All Inclusive,Hotel Location/Area: Cancun-Punta Cancun,43,1
5,Seadust Cancun Family Resort,Hotel Location/Area: Cancun-Caribbean Beach,43,1
6,Hard Rock Hotel Cancun,Hotel Location/Area: Cancun-Caribbean Beach,43,1
7,Hyatt Ziva Cancun,Hotel Location/Area: Cancun-Punta Cancun,43,1
8,"Hilton Playa del Carmen, an All-Inclusive Resort - Adults Only",Hotel Location/Area: Riviera Maya - Playa del Carmen,43,1
9,TRS Yucatan Hotel - Adults Only,Hotel Location/Area: Riviera Maya - Kantenah,43,1
10,"El Dorado Royale, a Spa Resort by Karisma - Adults Only",Hotel Location/Area: Riviera Maya - Playa Maroma,43,1
11,Secrets The Vine Cancun - Adults Only,Hotel Location/Area: Cancun-Caribbean Beach,43,1
12,Excellence Riviera Cancun - Adult Only,Hotel Location/Area: Riviera Maya - Puerto Morelos,43,1
13,Dreams Playa Mujeres Golf &amp; Spa Resort,Hotel Location/Area: Cancun-Playa Mujeres,43,1
14,TRS Coral Hotel - Adults Only,Hotel Location/Area: Cancun-Costa Mujeres,43,1
15,Live Aqua Cancun - Adults Only,Hotel Location/Area: Cancun-Caribbean Beach,43,1
16,Hard Rock Hotel Riviera Maya,Hotel Location/Area: Riviera Maya - Puerto Aventuras,43,1
17,Royal Hideaway Playacar - Adults Only,Hotel Location/Area: Riviera Maya - Playacar,43,1
18,Dreams Natura Resort &amp; Spa,Hotel Location/Area: Riviera Maya - Puerto Morelos,43,1
19,Breathless Riviera Cancun Resort &amp; Spa - Adults Only,Hotel Location/Area: Riviera Maya - Puerto Morelos,43,1
